link,JobTitle,company_name,No_of_salary,average_salary,salary_range
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",Data Scientist,Tata Consultancy Services,120,"₹ 6,51,553/yr","₹174K to ₹2,534K"
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm",Data Scientist,IBM,110,"₹ 10,56,841/yr","₹291K to ₹4,342K"
"https://www.glassdoor.co.in/Salary/Mu-Sigma-Data-Scientist-Salaries-E253258_D_KO9,23.htm",Data Scientist,Mu Sigma,91,"₹ 6,11,721/yr","₹298K to ₹4,727K"
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Data-Scientist-Salaries-E8014_D_KO31,45.htm",Data Scientist,Cognizant Technology Solutions,57,"₹ 8,60,733/yr","₹300K to ₹3,600K"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm",Data Scientist,Accenture,56,"₹ 10,22,710/yr","₹182K to ₹3,064K"
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm",Data Scientist,Infosys,49,"₹ 8,47,310/yr","₹220K to ₹3,244K"
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm",Data Scientist,Fractal,46,"₹ 14,94,422/yr","₹605K to ₹2,113K"
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm",Data Scientist,Capgemini,35,"₹ 9,50,326/yr","₹358K to ₹1,817K"
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm",Data Scientist,Amazon,32,"₹ 13,73,954/yr","₹600K to ₹3,380K"
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm",Data Scientist,Ericsson-Worldwide,29,"₹ 9,60,000/yr","₹355K to ₹3,041K"
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm",Data Science Associate,ZS Associates,28,"₹ 12,52,826/yr","₹1,015K to ₹4,000K"
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm",Data Scientist,Impact Analytics,28,"₹ 6,51,706/yr",₹519K to ₹900K
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm",Data Scientist,Microsoft,27,"₹ 16,73,507/yr","₹230K to ₹3,350K"
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm",Data Scientist,Wipro,26,"₹ 9,31,376/yr","₹355K to ₹1,585K"
"https://www.glassdoor.co.in/Salary/Jio-Data-Scientist-Salaries-E694833_D_KO4,18.htm",Data Scientist,Jio,23,"₹ 12,51,069/yr","₹318K to ₹2,287K"
"https://www.glassdoor.co.in/Salary/Embibe-Data-Scientist-Salaries-E887373_D_KO7,21.htm",Data Scientist,Embibe,23,"₹ 13,77,597/yr","₹863K to ₹2,100K"
"https://www.glassdoor.co.in/Salary/Google-Data-Scientist-Salaries-E9079_D_KO7,21.htm",Data Scientist,Google,22,"₹ 12,76,057/yr","₹281K to ₹7,107K"
"https://www.glassdoor.co.in/Salary/dunnhumby-Applied-Data-Scientist-Salaries-E195922_D_KO10,32.htm",Applied Data Scientist,dunnhumby,22,"₹ 11,91,260/yr","₹505K to ₹2,638K"
"https://www.glassdoor.co.in/Salary/Deloitte-Data-Scientist-Salaries-E2763_D_KO9,23.htm",Data Scientist,Deloitte,21,"₹ 11,97,041/yr","₹537K to ₹1,630K"
"https://www.glassdoor.co.in/Salary/Tech-Mahindra-Data-Scientist-Salaries-E135932_D_KO14,28.htm",Data Scientist,Tech Mahindra,21,"₹ 7,44,923/yr","₹405K to ₹2,200K"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Science-Analyst-Salaries-E4138_D_KO10,30.htm",Data Science Analyst,Accenture,20,"₹ 12,06,899/yr","₹461K to ₹1,700K"
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Scientist-Salaries-E115506_D_KO14,28.htm",Data Scientist,ZS Associates,19,"₹ 12,10,443/yr","₹202K to ₹2,245K"
"https://www.glassdoor.co.in/Salary/Anheuser-Busch-InBev-Data-Scientist-Salaries-E428473_D_KO21,35.htm",Data Scientist,Anheuser-Busch InBev,18,"₹ 16,04,779/yr","₹1,272K to ₹1,900K"
"https://www.glassdoor.co.in/Salary/Cyient-Data-Scientist-Salaries-E145213_D_KO7,21.htm",Data Scientist,Cyient,18,"₹ 9,97,310/yr","₹113K to ₹1,985K"
"https://www.glassdoor.co.in/Salary/Innoplexus-Data-Scientist-Salaries-E881734_D_KO11,25.htm",Data Scientist,Innoplexus,18,"₹ 11,76,617/yr","₹160K to ₹6,020K"
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Senior-Data-Scientist-Salaries-E1796553_D_KO17,38.htm",Senior Data Scientist,Impact Analytics,18,"₹ 10,67,888/yr","₹814K to ₹1,480K"
"https://www.glassdoor.co.in/Salary/HCL-Technologies-Data-Scientist-Salaries-E553909_D_KO17,31.htm",Data Scientist,HCL Technologies,17,"₹ 8,24,518/yr","₹400K to ₹1,800K"
"https://www.glassdoor.co.in/Salary/Nielsen-Data-Scientist-Salaries-E3776_D_KO8,22.htm",Data Scientist,Nielsen,17,"₹ 6,97,330/yr","₹584K to ₹1,331K"
"https://www.glassdoor.co.in/Salary/UnitedHealth-Group-Data-Scientist-Salaries-E1991_D_KO19,33.htm",Data Scientist,UnitedHealth Group,16,"₹ 13,83,270/yr","₹485K to ₹13,192K"
"https://www.glassdoor.co.in/Salary/Genpact-Data-Scientist-Salaries-E42613_D_KO8,22.htm",Data Scientist,Genpact,15,"₹ 8,42,174/yr","₹165K to ₹2,245K"
"https://www.glassdoor.co.in/Salary/Verizon-Data-Scientist-Salaries-E89_D_KO8,22.htm",Data Scientist,Verizon,15,"₹ 13,57,904/yr","₹550K to ₹2,388K"
"https://www.glassdoor.co.in/Salary/Optum-Data-Scientist-Salaries-E2409113_D_KO6,20.htm",Data Scientist,Optum,15,"₹ 13,27,632/yr","₹807K to ₹2,178K"
"https://www.glassdoor.co.in/Salary/Wipro-Associate-Data-Scientist-Salaries-E9936_D_KO6,30.htm",Associate Data Scientist,Wipro,14,"₹ 7,84,385/yr",₹632K to ₹865K
"https://www.glassdoor.co.in/Salary/Delhivery-Data-Scientist-Salaries-E513409_D_KO10,24.htm",Data Scientist,Delhivery,14,"₹ 12,39,781/yr","₹450K to ₹11,622K"
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-II-Salaries-E1651_D_KO10,27.htm",Data Scientist II,Microsoft,14,"₹ 20,88,243/yr","₹320K to ₹4,764K"
"https://www.glassdoor.co.in/Salary/MiQ-Data-Scientist-Salaries-E719780_D_KO4,18.htm",Data Scientist,MiQ,14,"₹ 15,59,783/yr","₹1,046K to ₹1,937K"
"https://www.glassdoor.co.in/Salary/Flutura-Data-Scientist-Salaries-E517953_D_KO8,22.htm",Data Scientist,Flutura,13,"₹ 7,41,261/yr","₹314K to ₹1,464K"
"https://www.glassdoor.co.in/Salary/Tiger-Analytics-Data-Scientist-Salaries-E717029_D_KO16,30.htm",Data Scientist,Tiger Analytics,13,"₹ 15,50,000/yr","₹822K to ₹1,836K"
"https://www.glassdoor.co.in/Salary/HP-Inc-Data-Scientist-Salaries-E1093161_D_KO7,21.htm",Data Scientist,HP Inc.,12,"₹ 14,57,842/yr","₹700K to ₹1,824K"
"https://www.glassdoor.co.in/Salary/Optum-Global-Solutions-Data-Scientist-Salaries-E3725926_D_KO23,37.htm",Data Scientist,Optum Global Solutions,12,"₹ 13,18,288/yr","₹816K to ₹1,700K"
"https://www.glassdoor.co.in/Salary/First-Student-Data-Scientist-Salaries-E16694_D_KO14,28.htm",Data Scientist,First Student,12,"₹ 6,00,000/yr","₹240K to ₹4,873K"
"https://www.glassdoor.co.in/Salary/Fuzzy-Logix-Data-Scientist-Salaries-E361983_D_KO12,26.htm",Data Scientist,Fuzzy Logix,12,"₹ 15,13,208/yr","₹925K to ₹2,194K"
"https://www.glassdoor.co.in/Salary/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale-Data-Scientist-Salaries-E10350_D_KO17,31.htm",Data Scientist,Société Générale,11,"₹ 16,24,461/yr","₹925K to ₹1,913K"
"https://www.glassdoor.co.in/Salary/dunnhumby-Senior-Applied-Data-Scientist-Salaries-E195922_D_KO10,39.htm",Senior Applied Data Scientist,dunnhumby,11,"₹ 12,29,251/yr","₹1,100K to ₹2,672K"
"https://www.glassdoor.co.in/Salary/IBM-Senior-Data-Scientist-Salaries-E354_D_KO4,25.htm",Senior Data Scientist,IBM,11,"₹ 31,35,353/yr","₹1,307K to ₹4,342K"
"https://www.glassdoor.co.in/Salary/Fractal-Senior-Data-Scientist-Salaries-E270403_D_KO8,29.htm",Senior Data Scientist,Fractal,11,"₹ 20,69,333/yr","₹1,402K to ₹2,254K"
"https://www.glassdoor.co.in/Salary/Oracle-Data-Scientist-Salaries-E1737_D_KO7,21.htm",Data Scientist,Oracle,11,"₹ 12,24,531/yr","₹502K to ₹2,895K"
"https://www.glassdoor.co.in/Salary/Flipkart-Data-Scientist-Salaries-E300494_D_KO9,23.htm",Data Scientist,Flipkart,11,"₹ 24,89,491/yr","₹1,211K to ₹2,612K"
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Senior-Data-Scientist-Salaries-E13461_D_KO26,47.htm",Senior Data Scientist,Tata Consultancy Services,10,"₹ 16,23,571/yr","₹372K to ₹6,000K"
"https://www.glassdoor.co.in/Salary/GE-Senior-Data-Scientist-Salaries-E277_D_KO3,24.htm",Senior Data Scientist,GE,10,"₹ 21,42,705/yr","₹1,587K to ₹2,711K"
"https://www.glassdoor.co.in/Salary/INSOFE-Data-Scientist-Salaries-E516431_D_KO7,21.htm",Data Scientist,INSOFE,10,"₹ 9,01,400/yr","₹500K to ₹1,523K"
"https://www.glassdoor.co.in/Salary/Wipro-Technologies-Data-Scientist-Salaries-E4025033_D_KO19,33.htm",Data Scientist,Wipro Technologies,10,"₹ 7,35,840/yr","₹182K to ₹2,350K"
"https://www.glassdoor.co.in/Salary/DXC-Technology-Data-Scientist-Salaries-E1603125_D_KO15,29.htm",Data Scientist,DXC Technology,10,"₹ 12,18,937/yr","₹508K to ₹2,542K"
"https://www.glassdoor.co.in/Salary/Anheuser-Busch-InBev-Associate-Data-Scientist-Salaries-E428473_D_KO21,45.htm",Associate Data Scientist,Anheuser-Busch InBev,10,"₹ 14,13,240/yr","₹122K to ₹2,542K"
"https://www.glassdoor.co.in/Salary/EXL-Service-Data-Scientist-Salaries-E37901_D_KO12,26.htm",Data Scientist,EXL Service,10,"₹ 10,39,596/yr","₹811K to ₹1,450K"
"https://www.glassdoor.co.in/Salary/DataScientest-Data-Scientist-Salaries-E3151014_D_KO14,28.htm",Data Scientist,DataScientest,9,"₹ 6,27,826/yr","₹365K to ₹4,800K"
"https://www.glassdoor.co.in/Salary/Philips-Data-Scientist-Salaries-E3496_D_KO8,22.htm",Data Scientist,Philips,9,"₹ 15,06,783/yr","₹715K to ₹2,331K"
"https://www.glassdoor.co.in/Salary/Jotter-Data-Scientist-Salaries-E2341912_D_KO7,21.htm",Data Scientist,Jotter,9,"₹ 8,90,762/yr","₹251K to ₹1,093K"
"https://www.glassdoor.co.in/Salary/-24-7-ai-Data-Scientist-Salaries-E34134_D_KO9,23.htm",Data Scientist,[24]7.ai,9,"₹ 18,79,854/yr","₹1,097K to ₹2,257K"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Science-Consultant-Salaries-E4138_D_KO10,33.htm",Data Science Consultant,Accenture,9,"₹ 15,34,745/yr","₹1,263K to ₹1,800K"
"https://www.glassdoor.co.in/Salary/Valiance-Solutions-Data-Scientist-Salaries-E895637_D_KO19,33.htm",Data Scientist,Valiance Solutions,9,"₹ 8,15,192/yr","₹502K to ₹1,465K"
"https://www.glassdoor.co.in/Salary/Quadratic-Insights-Data-Scientist-Salaries-E968368_D_KO19,33.htm",Data Scientist,Quadratic Insights,9,"₹ 5,56,726/yr","₹350K to ₹1,523K"
"https://www.glassdoor.co.in/Salary/Innovaccer-Data-Scientist-Salaries-E721552_D_KO11,25.htm",Data Scientist,Innovaccer,9,"₹ 11,97,921/yr","₹620K to ₹1,695K"
"https://www.glassdoor.co.in/Salary/Housing-com-Data-Scientist-Salaries-E910830_D_KO12,26.htm",Data Scientist,Housing.com,9,"₹ 22,57,454/yr","₹206K to ₹2,454K"
"https://www.glassdoor.co.in/Salary/LTI-Data-Scientist-Salaries-E30653_D_KO4,18.htm",Data Scientist,LTI,9,"₹ 7,95,945/yr","₹230K to ₹1,300K"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Science-Manager-Salaries-E4138_D_KO10,30.htm",Data Science Manager,Accenture,9,"₹ 24,71,678/yr","₹925K to ₹3,350K"
"https://www.glassdoor.co.in/Salary/Great-Learning-Data-Scientist-Salaries-E1880468_D_KO15,29.htm",Data Scientist,Great Learning,8,"₹ 8,30,433/yr","₹711K to ₹1,046K"
"https://www.glassdoor.co.in/Intern-Salary/Analytics-Vidhya-Data-Science-Internship-Salaries-E1888979_D_KO17,29.htm",Data Science - Monthly Intern,Analytics Vidhya,8,"₹ 21,415/mo",₹14K to ₹27K
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Senior-Data-Scientist-Salaries-E8014_D_KO31,52.htm",Senior Data Scientist,Cognizant Technology Solutions,8,"₹ 16,97,007/yr","₹208K to ₹2,500K"
"https://www.glassdoor.co.in/Salary/Atos-Syntel-Data-Scientist-Salaries-E5304_D_KO12,26.htm",Data Scientist,Atos-Syntel,8,"₹ 6,13,000/yr","₹334K to ₹1,570K"
"https://www.glassdoor.co.in/Salary/Innominds-Software-Data-Scientist-Salaries-E266740_D_KO19,33.htm",Data Scientist,Innominds Software,8,"₹ 6,94,225/yr","₹139K to ₹1,334K"
"https://www.glassdoor.co.in/Salary/Fuzzy-Logix-Associate-Data-Scientist-Salaries-E361983_D_KO12,36.htm",Associate Data Scientist,Fuzzy Logix,8,"₹ 13,11,865/yr","₹1,129K to ₹1,489K"
"https://www.glassdoor.co.in/Salary/Fidelity-Investments-Data-Scientist-Salaries-E2786_D_KO21,35.htm",Data Scientist,Fidelity Investments,8,"₹ 21,62,224/yr","₹1,630K to ₹3,147K"
"https://www.glassdoor.co.in/Salary/Walmart-Data-Scientist-Salaries-E715_D_KO8,22.htm",Data Scientist,Walmart,8,"₹ 25,09,441/yr","₹1,869K to ₹3,662K"
"https://www.glassdoor.co.in/Salary/Honeywell-Data-Scientist-Salaries-E28_D_KO10,24.htm",Data Scientist,Honeywell,8,"₹ 14,57,006/yr","₹624K to ₹8,109K"
"https://www.glassdoor.co.in/Salary/Applied-Data-Finance-Data-Scientist-Salaries-E1057605_D_KO21,35.htm",Data Scientist,Applied Data Finance,8,"₹ 7,13,260/yr","₹482K to ₹1,278K"
"https://www.glassdoor.co.in/Salary/Anheuser-Busch-InBev-Senior-Data-Scientist-Salaries-E428473_D_KO21,42.htm",Senior Data Scientist,Anheuser-Busch InBev,8,"₹ 20,00,000/yr","₹1,906K to ₹2,755K"
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Associate-Data-Scientist-Salaries-E8014_D_KO31,55.htm",Associate Data Scientist,Cognizant Technology Solutions,8,"₹ 8,77,914/yr","₹704K to ₹1,069K"
"https://www.glassdoor.co.in/Salary/Thoucentric-Data-Scientist-Salaries-E1845986_D_KO12,26.htm",Data Scientist,Thoucentric,8,"₹ 7,11,737/yr","₹530K to ₹1,448K"
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-II-Salaries-E6036_D_KO7,24.htm",Data Scientist II,Amazon,8,"₹ 22,54,866/yr","₹1,463K to ₹4,017K"
"https://www.glassdoor.co.in/Salary/AlgoAnalytics-Financial-Consultancy-Data-Scientist-Salaries-E1057586_D_KO36,50.htm",Data Scientist - Monthly,AlgoAnalytics Financial Consultancy,7,"₹ 60,000/mo",₹40K to ₹86K
"https://www.glassdoor.co.in/Salary/Bharti-Airtel-Data-Scientist-Salaries-E38320_D_KO14,28.htm",Data Scientist,Bharti Airtel,7,"₹ 15,00,000/yr","₹727K to ₹2,300K"
"https://www.glassdoor.co.in/Salary/Scienaptic-Systems-Data-Scientist-Salaries-E1085647_D_KO19,33.htm",Data Scientist,Scienaptic Systems,7,"₹ 12,54,141/yr","₹147K to ₹5,969K"
"https://www.glassdoor.co.in/Salary/Zensar-Technologies-Data-Scientist-Salaries-E255019_D_KO20,34.htm",Data Scientist,Zensar Technologies,7,"₹ 8,35,663/yr","₹500K to ₹1,570K"
"https://www.glassdoor.co.in/Salary/EY-Data-Scientist-Salaries-E2784_D_KO3,17.htm",Data Scientist,EY,7,"₹ 5,76,000/yr","₹303K to ₹1,628K"
"https://www.glassdoor.co.in/Salary/Reliance-Industries-Data-Scientist-Salaries-E10052_D_KO20,34.htm",Data Scientist,Reliance Industries,7,"₹ 17,26,197/yr","₹908K to ₹2,585K"
"https://www.glassdoor.co.in/Salary/Wolters-Kluwer-Data-Scientist-Salaries-E10497_D_KO15,29.htm",Data Scientist,Wolters Kluwer,7,"₹ 11,22,487/yr","₹1,000K to ₹9,532K"
"https://www.glassdoor.co.in/Salary/Affine-Data-Scientist-Salaries-E615757_D_KO7,21.htm",Data Scientist,Affine,7,"₹ 10,99,358/yr","₹609K to ₹2,109K"
"https://www.glassdoor.co.in/Salary/Ola-Data-Scientist-Salaries-E587383_D_KO4,18.htm",Data Scientist,Ola,7,"₹ 22,00,000/yr","₹1,319K to ₹4,042K"
"https://www.glassdoor.co.in/Salary/UnitedHealth-Group-Associate-Data-Scientist-Salaries-E1991_D_KO19,43.htm",Associate Data Scientist,UnitedHealth Group,7,"₹ 9,89,422/yr","₹726K to ₹1,307K"
"https://www.glassdoor.co.in/Salary/Optum-Senior-Data-Scientist-Salaries-E2409113_D_KO6,27.htm",Senior Data Scientist,Optum,7,"₹ 22,00,000/yr","₹1,509K to ₹2,553K"
"https://www.glassdoor.co.in/Salary/American-Express-Data-Scientist-Salaries-E35_D_KO17,31.htm",Data Scientist,American Express,7,"₹ 15,20,373/yr","₹1,200K to ₹1,940K"
"https://www.glassdoor.co.in/Salary/Citi-Data-Scientist-Salaries-E8843_D_KO5,19.htm",Data Scientist,Citi,7,"₹ 16,72,411/yr","₹262K to ₹2,587K"
"https://www.glassdoor.co.in/Salary/AlgonoX-Technologies-Data-Science-Engineer-Salaries-E2038332_D_KO21,42.htm",Data Science Engineer,AlgonoX Technologies,7,"₹ 8,35,663/yr","₹565K to ₹1,226K"
"https://www.glassdoor.co.in/Salary/Aaum-Research-and-Analytics-Data-Scientist-Salaries-E646142_D_KO28,42.htm",Data Scientist,Aaum Research and Analytics,6,"₹ 4,80,816/yr",₹201K to ₹731K
"https://www.glassdoor.co.in/Salary/IQVIA-Data-Scientist-Salaries-E8347_D_KO6,20.htm",Data Scientist,IQVIA,6,"₹ 7,93,559/yr","₹453K to ₹1,115K"
"https://www.glassdoor.co.in/Salary/Shell-Data-Scientist-Salaries-E5833_D_KO6,20.htm",Data Scientist,Shell,6,"₹ 20,50,000/yr","₹720K to ₹4,536K"
"https://www.glassdoor.co.in/Salary/Webtunix-Data-Scientist-Salaries-E1842452_D_KO9,23.htm",Data Scientist - Monthly,Webtunix,6,"₹ 55,747/mo",₹16K to ₹132K
"https://www.glassdoor.co.in/Salary/ABC-Data-Scientist-Salaries-E130_D_KO4,18.htm",Data Scientist,ABC,6,"₹ 10,09,267/yr","₹146K to ₹2,534K"
